"ap-davis";"as-bimac";"as-fasci";"ch-bimac";"ci-ocela";"ci-orien";"co-macro";"co-heter";"cr-menez";"cu-lepid";"cy-gilbe";"ge-brasi";"he-margi";"ho-malab";"hy-pusar";"le-melan";"le-piau";"le-taeni";"mo-costa";"mo-lepid";"or-nilot";"pa-manag";"pimel-sp";"po-retic";"po-vivip";"pr-brevi";"ps-rhomb";"ps-genise";"se-heter";"se-piaba";"se-spilo";"st-noton";"sy-marmo";"te-chalc";"tr-signa"
"B";2,45454545454545;91,2727272727273;2,36363636363636;0;0,545454545454545;0;0;0;0;1,90909090909091;7,36363636363636;92;0;0,363636363636364;0,0909090909090909;0,181818181818182;0,0909090909090909;0,0909090909090909;0,0909090909090909;0;46,6363636363636;50,2727272727273;0;29,2727272727273;19,9090909090909;1,45454545454545;0;0;12,1818181818182;0;0;0;0;12,1818181818182;2,45454545454545
"S";0;106,583333333333;11;58,75;5,33333333333333;11,9166666666667;0,166666666666667;0,0833333333333333;2,33333333333333;0;4,16666666666667;0,666666666666667;0,166666666666667;8,75;5,83333333333333;0;1,16666666666667;0;0;3,33333333333333;27,0833333333333;0;0,5;2,08333333333333;63,25;21,1666666666667;0,0833333333333333;0,0833333333333333;13,5;5,66666666666667;0,0833333333333333;17,0833333333333;0,0833333333333333;0;15,0833333333333
